season,division,date,home,away,home_goals,away_goals,game_nr,team1_home,home_timediff,away_timediff,home_round,away_round,season_first,home_nr,away_nr
2017,2,2017-10-06,Saudi Arabia,Bahrain,75,72,292,1,7,7,1,1,1,67,7
2019,3,2017-11-23,Uruguay,Panama,86,73,293,1,94,7,8,1,1,83,59
2019,3,2017-11-23,Lebanon,India,107,72,294,1,7,7,1,1,1,49,36
2019,3,2017-11-23,Syria,Jordan,72,109,295,1,7,7,1,1,1,77,45
2019,3,2017-11-23,New Zealand,South Korea,80,86,296,1,100,7,2,1,1,55,72
2019,3,2017-11-24,Belgium,France,59,70,297,1,78,76,21,15,1,8,28
2019,3,2017-11-24,Great Britain,Greece,92,95,298,1,78,72,19,13,1,31,32
2019,3,2017-11-24,Italy,Romania,75,70,299,1,72,78,14,13,1,42,65
2019,3,2017-11-24,Montenegro,Spain,66,79,300,1,75,68,20,19,1,53,74
2019,3,2017-11-24,Netherlands,Croatia,68,61,301,1,97,75,16,12,0,54,19
2019,3,2017-11-24,Serbia,Austria,85,64,302,1,68,100,12,14,1,69,5
2019,3,2017-11-24,Germany,Georgia,79,70,303,1,73,79,19,17,1,30,29
2019,3,2017-11-24,Kosovo,Lithuania,61,99,304,1,97,76,13,16,0,47,50
2019,3,2017-11-24,Sweden,Ukraine,76,84,305,1,97,76,11,20,0,75,82
2019,3,2017-11-24,Bosnia & Herzegovina,Russia,81,76,306,1,100,68,12,20,0,9,66
