date,home,away,home_score,away_score
24.11. 10:00,Japan,Philippines,71,77
24.11. 03:00,Mexico,Cuba,72,66
24.11. 00:30,Puerto Rico,USA,78,85
24.11. 00:15,Argentina,Paraguay,96,63
23.11. 23:00,Uruguay,Panama,86,73
23.11. 19:00,Lebanon,India,107,72
23.11. 15:00,Syria,Jordan,72,109
23.11. 11:30,China,Hong Kong,96,44
23.11. 06:10,New Zealand,South Korea,80,86
19.08. 18:30,Albania,Netherlands,37,111
19.08. 18:15,Kosovo,Estonia,75,69
19.08. 17:30AOT,Portugal,Belarus,79,78
19.08. 16:00,Armenia,Bosnia & Herzegovina,66,83
19.08. 14:00,Sweden,Slovakia,86,82
16.08. 18:00,Netherlands,Austria,71,78
16.08. 17:00,Sweden,Armenia,93,70
16.08. 16:30,Belarus,Bulgaria,70,84
16.08. 16:00,Slovakia,Bosnia & Herzegovina,74,92
16.08. 15:30,Estonia,North Macedonia,74,65
12.08. 18:30,North Macedonia,Kosovo,87,74
12.08. 18:00,Bosnia & Herzegovina,Sweden,72,88
12.08. 18:00,Slovakia,Armenia,78,92
12.08. 15:00,Bulgaria,Portugal,91,65
12.08. 14:00,Austria,Albania,97,63
09.08. 18:00,Bosnia & Herzegovina,Armenia,98,85
09.08. 18:00,Netherlands,Albania,91,77
09.08. 16:00,Belarus,Portugal,78,75
09.08. 16:00,Slovakia,Sweden,68,59
09.08. 15:30,Estonia,Kosovo,76,50
05.08. 18:30,North Macedonia,Estonia,76,80
05.08. 18:00,Bosnia & Herzegovina,Slovakia,84,71
05.08. 17:30,Austria,Netherlands,72,79
05.08. 16:00,Armenia,Sweden,82,69
05.08. 15:00,Bulgaria,Belarus,78,68
02.08. 18:30,Albania,Austria,51,79
02.08. 18:15,Kosovo,North Macedonia,72,68
02.08. 17:30,Portugal,Bulgaria,71,82
02.08. 16:00,Armenia,Slovakia,75,61
02.08. 16:00,Sweden,Bosnia & Herzegovina,81,73
