season,division,date,home,away,home_goals,away_goals,game_nr,team1_home,home_timediff,away_timediff,home_round,away_round,season_first,home_nr,away_nr
2019,3,2017-11-24,Kosovo,Lithuania,61,99,291,1,97,76,13,15,0,47,50
2019,3,2017-11-24,Sweden,Ukraine,76,84,292,1,97,76,11,19,0,74,81
2019,3,2017-11-24,Bosnia & Herzegovina,Russia,81,76,293,1,100,68,12,20,0,9,65
2019,3,2017-11-24,Poland,Hungary,70,60,294,1,79,75,18,24,1,61,34
2019,3,2017-11-24,Guinea,Tunisia,56,96,295,1,7,100,1,6,1,33,77
2019,3,2017-11-24,Iraq,Iran,74,66,296,1,7,100,1,4,1,39,38
2019,3,2017-11-24,Bulgaria,Finland,80,82,297,1,100,76,12,14,0,11,27
2019,3,2017-11-24,Czech Republic,Iceland,89,69,298,1,78,79,14,20,1,21,35
2019,3,2017-11-24,Turkey,Latvia,85,73,299,1,75,73,14,14,1,78,48
2019,3,2017-11-24,Qatar,Kazakhstan,70,82,300,1,7,7,1,1,1,64,46
2019,3,2017-11-24,D.R. Congo,Egypt,61,65,301,1,7,7,1,1,1,22,25
2019,3,2017-11-24,Israel,Estonia,88,68,302,1,79,97,16,12,1,41,26
2019,3,2017-11-24,Japan,Philippines,71,77,303,1,100,7,3,1,1,44,60
2019,3,2017-11-24,Puerto Rico,USA,78,85,304,1,7,7,1,1,1,63,79
2019,3,2017-11-25,Cameroon,Guinea,116,78,305,1,7,1,1,2,1,12,33
2019,3,2017-11-25,Egypt,Angola,64,68,306,1,1,100,2,2,0,25,2
